Cell,Age,Oxy,Sal,Period
193,3.8332,213.5393,35.9725,2016-18
194,3.6838,213.6848,35.9741,2016-18
195,3.8229,213.5846,35.9704,2016-18
196,4.3139,213.2975,35.9697,2016-18
197,4.0176,213.4261,35.9700,2016-18
198,4.5776,213.1782,35.9726,2016-18
199,5.5256,213.6742,35.9701,2016-18
200,4.9460,213.1174,35.9755,2016-18
201,4.7727,213.0844,35.9745,2016-18
202,3.5783,213.5813,35.9760,2016-18
203,3.2348,213.6980,35.9792,2016-18
204,2.9441,213.9901,35.9810,2016-18
205,3.5604,213.3092,35.9802,2016-18
206,3.9162,212.8625,35.9852,2016-18
207,3.9471,213.4736,35.9672,2016-18
208,3.8728,213.4675,35.9696,2016-18
209,3.9407,212.6989,35.9857,2016-18
210,4.2156,212.7219,35.9831,2016-18
211,4.0704,212.5772,35.9913,2016-18
212,3.8910,212.5849,35.9996,2016-18
213,4.3727,212.3827,35.9916,2016-18
214,4.1333,212.2675,35.9995,2016-18
215,3.9287,212.4658,36.0011,2016-18
216,4.3279,211.9638,35.9985,2016-18
217,4.1744,212.1447,36.0035,2016-18
218,4.4290,211.8447,35.9946,2016-18
219,4.4318,211.8069,35.9989,2016-18
220,4.3251,212.2519,36.0044,2016-18
221,4.5508,211.7522,35.9941,2016-18
222,4.5275,211.8897,35.9991,2016-18
223,4.4766,212.2328,36.0045,2016-18
224,4.6746,211.8057,35.9948,2016-18
225,4.6841,211.8420,35.9977,2016-18
226,4.7906,211.8063,35.9952,2016-18
227,5.6484,211.7958,35.9993,2016-18
228,6.0768,211.7212,35.9929,2016-18
229,5.4323,211.7975,35.9972,2016-18
230,6.4603,211.8471,35.9871,2016-18
231,5.1209,211.8657,35.9988,2016-18
232,5.2195,211.7352,35.9987,2016-18
233,4.9800,211.6488,35.9958,2016-18
234,7.8416,211.6110,35.9799,2016-18
235,6.7313,211.7043,35.9866,2016-18
236,7.1713,211.6245,35.9852,2016-18
237,8.2269,211.4251,35.9872,2016-18
238,8.7230,211.2682,35.9884,2016-18
239,10.8933,211.3662,35.9632,2016-18
240,11.0886,210.7983,35.9703,2016-18
241,12.1760,210.4652,35.9643,2016-18
242,10.2875,210.9758,35.9772,2016-18
243,9.8126,210.8917,35.9868,2016-18
244,10.4538,210.6606,35.9830,2016-18
245,9.3228,211.0615,35.9925,2016-18
246,17.1304,209.8718,35.8851,2016-18
247,16.2327,209.9374,35.9031,2016-18
248,15.8554,209.7418,35.9229,2016-18
249,15.6577,209.5796,35.9364,2016-18
250,12.7935,210.1720,35.9628,2016-18
251,14.1579,209.8595,35.9541,2016-18
252,4.0978,213.5650,35.9622,2016-18
253,3.9773,213.7950,35.9627,2016-18
254,4.1654,213.8025,35.9560,2016-18
255,4.0618,213.5127,35.9619,2016-18
256,4.3860,213.2620,35.9658,2016-18
257,4.2670,213.4427,35.9593,2016-18
258,4.5432,213.1377,35.9685,2016-18
259,4.8921,213.0708,35.9753,2016-18
260,4.6274,213.0846,35.9714,2016-18
261,5.5013,213.7294,35.9713,2016-18
262,3.9968,213.5398,35.9644,2016-18
263,3.8129,213.5316,35.9696,2016-18
264,3.5688,213.4964,35.9756,2016-18
265,3.7964,213.2239,35.9774,2016-18
266,4.0475,212.8629,35.9850,2016-18
267,4.2958,212.8745,35.9837,2016-18
268,4.1876,213.6456,35.9552,2016-18
269,4.1746,213.4233,35.9583,2016-18
270,4.3645,212.6417,35.9848,2016-18
271,4.4977,212.8993,35.9810,2016-18
272,4.6256,212.6603,35.9844,2016-18
