Cell,Age,Oxy,Sal,Period
299,19.0292,240.6924,35.1867,2016-18
300,19.1576,240.4074,35.1851,2016-18
301,19.1313,240.6356,35.1845,2016-18
302,18.7686,241.0044,35.1828,2016-18
303,18.5358,241.3562,35.1805,2016-18
304,17.5920,240.5295,35.2041,2016-18
305,18.2118,240.7996,35.1932,2016-18
306,18.1768,240.8795,35.1944,2016-18
307,18.6225,240.9831,35.1894,2016-18
308,18.8828,240.8735,35.1867,2016-18
309,18.6028,241.0030,35.1916,2016-18
310,18.7826,240.9406,35.1899,2016-18
311,21.8785,246.1104,35.0564,2016-18
312,21.7141,246.3714,35.0652,2016-18
313,21.9018,246.4301,35.0663,2016-18
314,21.7254,246.0531,35.0534,2016-18
315,21.5021,246.4056,35.0685,2016-18
316,21.7119,246.4394,35.0669,2016-18
317,20.7682,245.3915,35.0215,2016-18
318,21.1551,245.2867,35.0345,2016-18
319,21.3855,245.7252,35.0482,2016-18
320,21.0142,246.3183,35.0013,2016-18
321,20.6953,245.6041,35.0231,2016-18
322,21.4253,247.2584,34.9775,2016-18
323,20.9442,247.0155,34.9678,2016-18
324,21.3430,245.6002,35.0704,2016-18
325,21.6107,245.3744,35.0838,2016-18
326,21.3254,244.8897,35.0915,2016-18
327,21.2991,244.7235,35.0846,2016-18
328,21.2883,244.7602,35.0669,2016-18
329,21.1779,244.8514,35.0496,2016-18
330,21.1684,244.4296,35.0693,2016-18
331,21.3644,246.4147,35.0606,2016-18
332,21.2717,246.2695,35.0552,2016-18
333,20.5654,245.6973,35.0554,2016-18
334,20.7816,243.4652,35.1193,2016-18
335,20.8960,244.4021,35.0577,2016-18
336,20.8850,244.0373,35.0790,2016-18
337,20.3271,243.0606,35.1344,2016-18
338,19.2421,242.0575,35.1821,2016-18
339,19.7615,242.7062,35.1480,2016-18
340,18.8851,241.8698,35.1852,2016-18
341,18.2615,241.2467,35.2107,2016-18
342,17.8669,241.0686,35.2120,2016-18
343,17.4368,240.5181,35.2312,2016-18
344,17.2880,240.4310,35.2279,2016-18
345,16.5998,239.6771,35.2503,2016-18
346,17.1777,239.7060,35.2130,2016-18
347,17.3390,239.7016,35.2120,2016-18
348,17.0597,239.5142,35.2176,2016-18
349,17.0219,239.8495,35.2118,2016-18
350,16.7749,239.4196,35.2256,2016-18
351,16.6862,239.5192,35.2312,2016-18
352,16.4442,239.4402,35.2446,2016-18
353,16.7700,239.9531,35.2270,2016-18
354,16.9193,239.9499,35.2343,2016-18
355,17.6821,240.8013,35.1930,2016-18
356,17.3037,240.5167,35.2029,2016-18
357,17.3154,240.9220,35.1978,2016-18
358,18.0586,241.5722,35.1822,2016-18
359,17.5257,241.5111,35.1903,2016-18
360,17.5739,241.8566,35.1872,2016-18
361,19.0526,240.8140,35.1858,2016-18
362,18.7542,240.9171,35.1913,2016-18
363,18.5327,241.0419,35.1947,2016-18
364,19.0010,241.0478,35.1856,2016-18
365,18.8116,241.4817,35.1817,2016-18
366,18.8369,241.3676,35.1861,2016-18
367,18.3850,241.8412,35.1813,2016-18
